"#","Product Name","Product Name En","Markets","Date","Farmgate Price","Wholesale Price","Retail Price","Province","District"
"60","Ifu - Ibigori - Mugurusu","Ifu - Ibigori - Mugurusu","kibuye","Mon Jun 22 2026 12:13:33 GMT+0200 (South Africa Standard Time)","970","1080","1200","",""
"61","Ifu-amasaka","Ifu-amasaka","kibuye","Mon Jun 22 2026 12:12:56 GMT+0200 (South Africa Standard Time)","1000","1100","1200","",""
"62","Ifu-ibigori","Ifu-ibigori","kibuye","Mon Jun 22 2026 12:12:14 GMT+0200 (South Africa Standard Time)","600","700","800","",""
"63","Ifu-imyumbati","Ifu-imyumbati","kibuye","Mon Jun 22 2026 12:11:37 GMT+0200 (South Africa Standard Time)","700","850","1000","",""
"64","Igi- Pondeze","Igi- Pondeze","kibuye","Mon Jun 22 2026 12:10:44 GMT+0200 (South Africa Standard Time)","160","180","200","",""
"65","igi - irinyaRwanda","igi - irinyaRwanda","kibuye","Mon Jun 22 2026 12:10:03 GMT+0200 (South Africa Standard Time)","200","220","250","",""
"66","Soya","Soya","kibuye","Mon Jun 22 2026 12:09:12 GMT+0200 (South Africa Standard Time)","800","1000","1200","",""
"67","Ingano","Ingano","kibuye","Mon Jun 22 2026 12:08:19 GMT+0200 (South Africa Standard Time)","900","1100","1300","",""
"68","Ibigori","Ibigori","kibuye","Mon Jun 22 2026 12:07:27 GMT+0200 (South Africa Standard Time)","500","600","700","",""
"69","Amasaka","Amasaka","kibuye","Mon Jun 22 2026 12:06:45 GMT+0200 (South Africa Standard Time)","780","890","1000","",""
"70","Ubunyobwa","Ubunyobwa","kibuye","Mon Jun 22 2026 12:05:30 GMT+0200 (South Africa Standard Time)","1900","2100","2300","",""
"71","Ibishyimbo/Mutiki","Ibishyimbo/Mutiki","kibuye","Mon Jun 22 2026 12:04:38 GMT+0200 (South Africa Standard Time)","900","1000","1100","",""
"72","Ibishyimbo Shyushya","Ibishyimbo Shyushya","kibuye","Mon Jun 22 2026 12:04:17 GMT+0200 (South Africa Standard Time)","850","970","1100","",""
"73","Ibishyimbo Ibinyarwanda","Ibishyimbo Ibinyarwanda","kibuye","Mon Jun 22 2026 12:04:01 GMT+0200 (South Africa Standard Time)","850","970","1100","",""
"74","Ibishyimbo - Mushingiriro","Ibishyimbo - Mushingiriro","kibuye","Mon Jun 22 2026 12:02:48 GMT+0200 (South Africa Standard Time)","850","970","1100","",""
"75","ibitunguru-bitukura","ibitunguru-bitukura","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","500","600","700","",""
