date,district,season,rainfall_anomaly
2002-07-01,Bugesera,off,-0.2560084002131067
2002-08-01,Bugesera,off,-0.947594058056941
2002-09-01,Bugesera,off,-1.6903938804867387
2002-10-01,Bugesera,B,-0.7898752024816592
2002-11-01,Bugesera,B,-0.4600847839451962
2002-12-01,Bugesera,B,1.0928950834436213
2003-01-01,Bugesera,off,-0.7439513976559422
2003-02-01,Bugesera,off,-0.7873462221568236
2003-03-01,Bugesera,A,-1.2545972704555042
2003-04-01,Bugesera,A,0.11336412214097076
2003-05-01,Bugesera,A,-0.3154406018120777
2003-06-01,Bugesera,off,-0.48729750568828156
2003-07-01,Bugesera,off,-0.23693990217328967
2003-08-01,Bugesera,off,-0.034388157841719134
2003-09-01,Bugesera,off,0.9052984910819205
2003-10-01,Bugesera,B,0.33074110797231737
2003-11-01,Bugesera,B,-0.293901811176792
2003-12-01,Bugesera,B,-0.8266508724516104
2004-01-01,Bugesera,off,0.14260297924374157
2004-02-01,Bugesera,off,0.5745346393777176
2004-03-01,Bugesera,A,0.1694129809171619
2004-04-01,Bugesera,A,0.7826436437066105
2004-05-01,Bugesera,A,-1.2363722592990154
2004-06-01,Bugesera,off,-0.8918655464186348
2004-07-01,Bugesera,off,-0.2903877102783892
2004-08-01,Bugesera,off,-0.737678985415384
2004-09-01,Bugesera,off,0.4371178463409361
2004-10-01,Bugesera,B,0.08572436240618513
2004-11-01,Bugesera,B,2.141139825350495
2004-12-01,Bugesera,B,0.9737355941402072
2005-01-01,Bugesera,off,-0.5102453032288359
2005-02-01,Bugesera,off,-0.5504421598177621
2005-03-01,Bugesera,A,0.3491208011689634
2005-04-01,Bugesera,A,-0.9034257517266381
2005-05-01,Bugesera,A,0.14440697032595187
2005-06-01,Bugesera,off,-0.46765815129311694
2005-07-01,Bugesera,off,-0.32864833738433213
2005-08-01,Bugesera,off,1.4944258789838405
2005-09-01,Bugesera,off,1.4403525857500843
2005-10-01,Bugesera,B,1.9181822047101686
2005-11-01,Bugesera,B,-1.3522725740207286
2005-12-01,Bugesera,B,-1.6755036479375978
2006-01-01,Bugesera,off,-0.31193463076389844
2006-02-01,Bugesera,off,0.3196772294235596
2006-03-01,Bugesera,A,0.17037800965823863
2006-04-01,Bugesera,A,1.2308542246384901
2006-05-01,Bugesera,A,0.30946088477608125
2006-06-01,Bugesera,off,-0.6720278304147704
2006-07-01,Bugesera,off,0.3684653798494128
2006-08-01,Bugesera,off,1.7970363339402327
2006-09-01,Bugesera,off,-1.0749081810921026
2006-10-01,Bugesera,B,-1.2437031398367435
2006-11-01,Bugesera,B,2.1604220154886997
2006-12-01,Bugesera,B,2.970348495075107
2007-01-01,Bugesera,off,0.026507524240450744
2007-02-01,Bugesera,off,0.7583259604343308
2007-03-01,Bugesera,A,-0.6979411609423858
2007-04-01,Bugesera,A,0.3449274936646581
2007-05-01,Bugesera,A,3.8867136956767703
2007-06-01,Bugesera,off,1.366505252408651
2007-07-01,Bugesera,off,1.2483484565709175
2007-08-01,Bugesera,off,0.06687622986604012
2007-09-01,Bugesera,off,0.6673880344643005
2007-10-01,Bugesera,B,-0.32956773868406575
2007-11-01,Bugesera,B,-0.23762736994858322
2007-12-01,Bugesera,B,-1.074893903117261
2008-01-01,Bugesera,off,-0.9957187959912032
2008-02-01,Bugesera,off,-0.248766697327611
2008-03-01,Bugesera,A,-0.44503165593893246
2008-04-01,Bugesera,A,-0.8716688973566029
2008-05-01,Bugesera,A,-1.2406877771950082
2008-06-01,Bugesera,off,1.9373268798047247
2008-07-01,Bugesera,off,0.05456474760587913
2008-08-01,Bugesera,off,0.03687564996831385
2008-09-01,Bugesera,off,-0.27519384393984087
2008-10-01,Bugesera,B,-0.2680140281961352
2008-11-01,Bugesera,B,-0.8302208914387755
2008-12-01,Bugesera,B,-0.9915887246346713
2009-01-01,Bugesera,off,-0.11124604276814833
2009-02-01,Bugesera,off,2.485278940069223
2009-03-01,Bugesera,A,-0.2220866538767073
2009-04-01,Bugesera,A,-0.06098852637280992
2009-05-01,Bugesera,A,1.2960166097009937
2009-06-01,Bugesera,off,-0.44194447365116873
2009-07-01,Bugesera,off,-0.0945728063272426
2009-08-01,Bugesera,off,-0.7153976445834664
2009-09-01,Bugesera,off,-1.2795750235496814
2009-10-01,Bugesera,B,0.3855440343719537
2009-11-01,Bugesera,B,-0.5395516822594546
2009-12-01,Bugesera,B,-0.6787219443136213
2010-01-01,Bugesera,off,1.1764118767941454
2010-02-01,Bugesera,off,4.0936474531550635
2010-03-01,Bugesera,A,-0.04450892601211949
2010-04-01,Bugesera,A,0.27261384880813244
2010-05-01,Bugesera,A,0.08246482968130339
2010-06-01,Bugesera,off,1.2098887137940808
2010-07-01,Bugesera,off,-0.2637480176259527
2010-08-01,Bugesera,off,-1.4341405716677593
2010-09-01,Bugesera,off,-0.039724443495960285
2010-10-01,Bugesera,B,-0.348891473431343
2010-11-01,Bugesera,B,-0.6330287120682543
2010-12-01,Bugesera,B,0.3074358715983652
2011-01-01,Bugesera,off,-0.18081490215667848
2011-02-01,Bugesera,off,0.11480169693402965
2011-03-01,Bugesera,A,-0.4435755293290637
2011-04-01,Bugesera,A,-0.6276707587515231
2011-05-01,Bugesera,A,0.061864290615212605
2011-06-01,Bugesera,off,2.3748467554450245
2011-07-01,Bugesera,off,0.42758431360738985
2011-08-01,Bugesera,off,0.17780391752016586
2011-09-01,Bugesera,off,2.639989345166175
2011-10-01,Bugesera,B,1.0011388719321461
2011-11-01,Bugesera,B,1.2536409651902538
2011-12-01,Bugesera,B,0.3284679015697147
2012-01-01,Bugesera,off,-1.197674900459256
2012-02-01,Bugesera,off,-0.7866435332963103
2012-03-01,Bugesera,A,-0.5646388361575209
2012-04-01,Bugesera,A,0.6335327595024163
2012-05-01,Bugesera,A,2.085461023985802
2012-06-01,Bugesera,off,0.13473731930716576
2012-07-01,Bugesera,off,-0.4231583118195564
2012-08-01,Bugesera,off,1.2097080663732542
2012-09-01,Bugesera,off,0.819668485826145
2012-10-01,Bugesera,B,1.2374411940354961
2012-11-01,Bugesera,B,0.32179196940638527
2012-12-01,Bugesera,B,1.2952370274993779
2013-01-01,Bugesera,off,-0.14206378602535336
2013-02-01,Bugesera,off,-1.32070750532447
2013-03-01,Bugesera,A,1.3650387754608324
2013-04-01,Bugesera,A,-0.16705290419649405
2013-05-01,Bugesera,A,-1.4103645083290963
2013-06-01,Bugesera,off,-1.1125762722421024
2013-07-01,Bugesera,off,-0.41684895114075754
2013-08-01,Bugesera,off,-0.291023247292343
2013-09-01,Bugesera,off,2.1863494329814595
2013-10-01,Bugesera,B,-0.3652828511882868
2013-11-01,Bugesera,B,0.25168618175991764
2013-12-01,Bugesera,B,0.6939214302204227
2014-01-01,Bugesera,off,-0.6350841674164109
2014-02-01,Bugesera,off,0.6507324664203566
2014-03-01,Bugesera,A,-0.09805198826543349
2014-04-01,Bugesera,A,-0.5851088678482168
2014-05-01,Bugesera,A,-1.8715846164583971
2014-06-01,Bugesera,off,-0.2820773678293641
2014-07-01,Bugesera,off,-0.4694233674068606
2014-08-01,Bugesera,off,-0.06563925434872692
2014-09-01,Bugesera,off,-0.37948566371455833
2014-10-01,Bugesera,B,0.22995093765138713
2014-11-01,Bugesera,B,-0.05953475156983493
2014-12-01,Bugesera,B,-1.3398964588543845
2015-01-01,Bugesera,off,-2.0430145062191127
2015-02-01,Bugesera,off,-0.3568803107461969
2015-03-01,Bugesera,A,-0.4143076387523665
2015-04-01,Bugesera,A,0.3774767995146356
2015-05-01,Bugesera,A,-0.6149887773699384
2015-06-01,Bugesera,off,0.08905723091656478
2015-07-01,Bugesera,off,-0.3485452206033191
2015-08-01,Bugesera,off,-0.46790059035088555
2015-09-01,Bugesera,off,-0.35621244534104557
2015-10-01,Bugesera,B,0.03959204662010871
2015-11-01,Bugesera,B,-0.17766441209250503
2015-12-01,Bugesera,B,-0.930120252223974
2016-01-01,Bugesera,off,0.7984558800626048
2016-02-01,Bugesera,off,-0.746017883814094
2016-03-01,Bugesera,A,0.7805304795537825
2016-04-01,Bugesera,A,0.17782439137204986
2016-05-01,Bugesera,A,-1.8004867244463194
2016-06-01,Bugesera,off,-1.1017019469412876
2016-07-01,Bugesera,off,-0.07790339008027374
2016-08-01,Bugesera,off,-1.0023547474373535
2016-09-01,Bugesera,off,0.08246675171637825
2016-10-01,Bugesera,B,-0.4080053931847772
2016-11-01,Bugesera,B,0.4287728714462438
2016-12-01,Bugesera,B,-1.6534353664844468
2017-01-01,Bugesera,off,-1.2242184555436304
2017-02-01,Bugesera,off,-0.5690655694495241
2017-03-01,Bugesera,A,-0.7536401138300993
2017-04-01,Bugesera,A,-0.5342902127158611
2017-05-01,Bugesera,A,1.0524275302998944
2017-06-01,Bugesera,off,-1.0174020735240745
2017-07-01,Bugesera,off,-0.4001579985504645
2017-08-01,Bugesera,off,1.0388362950087238
2017-09-01,Bugesera,off,0.834898870831117
2017-10-01,Bugesera,B,0.644726679840435
2017-11-01,Bugesera,B,0.6251510152410744
2017-12-01,Bugesera,B,-0.8669541453179122
2018-01-01,Bugesera,off,1.5314354403276245
2018-02-01,Bugesera,off,-1.2827884990614022
2018-03-01,Bugesera,A,1.5482176716768141
2018-04-01,Bugesera,A,2.8061189546005108
2018-05-01,Bugesera,A,0.11567689142704132
2018-06-01,Bugesera,off,-0.2534279308368558
2018-07-01,Bugesera,off,-0.45956989343103655
2018-08-01,Bugesera,off,0.30429805980282243
2018-09-01,Bugesera,off,-1.165614830133525
2018-10-01,Bugesera,B,-0.9223621546229552
2018-11-01,Bugesera,B,-0.5093383056212932
2018-12-01,Bugesera,B,2.521919924326659
2019-01-01,Bugesera,off,0.8830508753996081
2019-02-01,Bugesera,off,-0.47972798241050973
2019-03-01,Bugesera,A,-1.2439406126423935
2019-04-01,Bugesera,A,-0.011498630196819926
2019-05-01,Bugesera,A,1.5163504495162996
2019-06-01,Bugesera,off,-0.4494375452977628
2019-07-01,Bugesera,off,-0.09189581736353483
2019-08-01,Bugesera,off,0.6550420033252161
2019-09-01,Bugesera,off,0.427510357040379
2019-10-01,Bugesera,B,0.022609374470252585
2019-11-01,Bugesera,B,0.4018190394710716
2019-12-01,Bugesera,B,0.24686683997407738
2020-01-01,Bugesera,off,1.8589428154620948
2020-02-01,Bugesera,off,2.2174329184794517
2020-03-01,Bugesera,A,0.011489553956519055
2020-04-01,Bugesera,A,0.5614777895278957
2020-05-01,Bugesera,A,-1.4515087849526682
2020-06-01,Bugesera,off,-0.9243148348160822
2020-07-01,Bugesera,off,0.008769241605936973
2020-08-01,Bugesera,off,-1.4481116058649697
2020-09-01,Bugesera,off,-0.4399311240030686
2020-10-01,Bugesera,B,2.509736848335228
2020-11-01,Bugesera,B,-0.08344439037714871
2020-12-01,Bugesera,B,1.3896593284837337
2021-01-01,Bugesera,off,-0.9832720430513304
2021-02-01,Bugesera,off,0.11170004566172748
2021-03-01,Bugesera,A,-0.3914006814726275
2021-04-01,Bugesera,A,-0.6458142684579729
2021-05-01,Bugesera,A,2.2949916896123814
2021-06-01,Bugesera,off,-1.099863956133032
2021-07-01,Bugesera,off,-0.2461626860062181
2021-08-01,Bugesera,off,-0.4311696166500054
2021-09-01,Bugesera,off,0.19065845228667158
2021-10-01,Bugesera,B,0.8873617254961341
2021-11-01,Bugesera,B,-0.6796738769523558
2021-12-01,Bugesera,B,0.2777050332069551
2022-01-01,Bugesera,off,0.7721486159113813
2022-02-01,Bugesera,off,1.5206074587545153
2022-03-01,Bugesera,A,-0.4493685907971882
2022-04-01,Bugesera,A,0.3815595243425529
2022-05-01,Bugesera,A,0.13244359130025335
2022-06-01,Bugesera,off,-0.6508240230353929
2022-07-01,Bugesera,off,0.15986910978377297
2022-08-01,Bugesera,off,0.6367044755191562
2022-09-01,Bugesera,off,-0.7668742087405233
2022-10-01,Bugesera,B,-1.3221655420313074
2022-11-01,Bugesera,B,0.029508740226510077
2022-12-01,Bugesera,B,0.5527838399169985
2023-01-01,Bugesera,off,1.6371570393121462
2023-02-01,Bugesera,off,-1.6524469868079261
2023-03-01,Bugesera,A,0.5481867020991634
2023-04-01,Bugesera,A,0.7521663752341001
2023-05-01,Bugesera,A,-0.6536020800049634
2023-06-01,Bugesera,off,-1.1226918950887927
2023-07-01,Bugesera,off,-0.4302602433593577
2023-08-01,Bugesera,off,-1.4722965493360223
2023-09-01,Bugesera,off,0.3255875708455697
2023-10-01,Bugesera,B,-0.7220648499912689
2023-11-01,Bugesera,B,-0.40273142444414384
2023-12-01,Bugesera,B,0.3341442799892558
2024-01-01,Bugesera,off,-0.2399535099134349
2024-02-01,Bugesera,off,-1.0053021583794226
2024-03-01,Bugesera,A,-1.3935650741690813
2024-04-01,Bugesera,A,1.1696405114110113
2024-05-01,Bugesera,A,-1.5396066354921703
2024-06-01,Bugesera,off,-1.1071153408225394
2024-07-01,Bugesera,off,-0.37563211470858227
2024-08-01,Bugesera,off,-0.598623687322529
2024-09-01,Bugesera,off,-0.08410062806700205
2024-10-01,Bugesera,B,0.13472712416459404
2024-11-01,Bugesera,B,2.9229638839019487
2024-12-01,Bugesera,B,-0.6547785326042771
2025-01-01,Bugesera,off,-0.17262298571972004
2025-02-01,Bugesera,off,-1.2120490844979495
2025-03-01,Bugesera,A,-1.519529069038039
2025-04-01,Bugesera,A,1.5113319681833526
2025-05-01,Bugesera,A,0.27432003098743307
2025-06-01,Bugesera,off,1.1839146063685377
2025-07-01,Bugesera,off,-0.1690696800810328
2025-08-01,Bugesera,off,0.2875820849422378
2025-09-01,Bugesera,off,-1.163929826154367
2025-10-01,Bugesera,B,0.9137158108993064
2025-11-01,Bugesera,B,-0.8643636837468924
2025-12-01,Bugesera,B,0.8865573359101364
2026-01-01,Bugesera,off,2.5516840103434344
2026-02-01,Bugesera,off,-0.34200449942917066
2026-03-01,Bugesera,A,0.10021809463891548
2026-04-01,Bugesera,A,-0.24316897908886728
2026-05-01,Bugesera,A,-1.6612652121028573
2026-06-01,Bugesera,off,-0.8554469929532184
1981-01-01,Burera,off,0.09201261262840259
1981-02-01,Burera,off,-1.003448159567828
1981-03-01,Burera,A,0.5256938200784806
1981-04-01,Burera,A,0.6647897363866131
1981-05-01,Burera,A,0.643483756923213
1981-06-01,Burera,off,-0.16469118040196093
1981-07-01,Burera,off,0.5672582276867176
1981-08-01,Burera,off,1.306373305264402
1981-09-01,Burera,off,-0.04343962866430956
1981-10-01,Burera,B,-0.2692214254369003
1981-11-01,Burera,B,-1.0879539254647996
1981-12-01,Burera,B,-0.329765291745167
1982-01-01,Burera,off,0.3768849787403643
1982-02-01,Burera,off,-0.399038410258828
1982-03-01,Burera,A,-0.6589711637731659
1982-04-01,Burera,A,1.6178064821295286
1982-05-01,Burera,A,0.670458675729517
1982-06-01,Burera,off,1.9295340575604571
1982-07-01,Burera,off,-0.7696195036524575
1982-08-01,Burera,off,-1.216574025348145
1982-09-01,Burera,off,0.6918832450279961
1982-10-01,Burera,B,-0.6997785814870463
1982-11-01,Burera,B,0.39385622448376967
1982-12-01,Burera,B,-0.24529406012255336
1983-01-01,Burera,off,-1.6464506427597312
1983-02-01,Burera,off,-0.31672124962563836
1983-03-01,Burera,A,-0.06783930062316591
